"anonym_id","duration..in.seconds.","finished","recordeddate","dismiss_1","research_stage","q22","q22_6_text","feeling_stage_1","feeling_stage_2","feeling_stage_3","feeling_stage_4","feeling_stage_5","feeling_stage_6","feeling_stage_7","feeling_stage_8","feeling_stage_9","feeling_stage_10","feeling_stage_11","feeling_stage_12","feeling_stage_13","feeling_stage_14","feeling_stage_15","feeling_stage_16","feeling_stage_17","feeling_stage_18","feeling_stage_19","feeling_stage_20","cause_stage","feeling_general_1","cause_general","category_of_work","position","area","gender","age","country","country_other"
832,"254",TRUE,"2026-02-09 10:10:21","Yes","Data analysis","","","5","2","5","4","4","4","4","1","2","2","3","3","4","1","5","3","4","3","4","2","I feel disappointed because it takes me a lot of time to achieve very small progress compared to cohorts.","2","I love research in my interesting topics.","Lab/online research","Postdoc","Social sciences","Man","38","Spain",""
833,"285",TRUE,"2026-02-09 10:10:25","Yes","Data collection","","","3","1","2","0","0","0","0","0","3","0","7","3","3","0","7","0","0","0","0","3","its just frustrating ","-3","its just no fun","Clinical research","PhD student","Health sciences","Woman","29","Netherlands",""
834,"279",TRUE,"2026-02-09 10:11:52","Yes","Data analysis","","","7","7","5","4","3","3","2","1","1","0","0","0","0","0","3","3","0","2","0","0","interest. very challenging and exploratory research. don't know what we will find (or not)","3","challenge, curiosity ","Clinical research","Full professor","Health sciences","Man","65","France",""
835,"380",TRUE,"2026-02-09 10:13:38","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","7","1","3","3","4","5","0","0","0","3","2","3","3","2","2","2","0","0","0","2","Interest. To me the process of getting permits from ethical boards, fundiung and setting up a trial with international partners was associated with a intense focus on learning and understanding all requierments that were neccesary.","-1","High work load, a sense of not having enough time","Clinical research","Postdoc","Health sciences","Man","46","Sweden",""
836,"439",TRUE,"2026-02-09 10:15:56","Yes","Waiting for journal's response and revisions","","","7","7","7","6","6","7","5","5","5","5","2","0","0","0","0","3","0","0","0","0","Pride","3","Enjoyment of the science and career stage","Lab/online research","Full professor","Life sciences","Man","60","United Kingdom of Great Britain and Northern Ireland",""
837,"305",TRUE,"2026-02-09 10:16:48","Yes","Data analysis","","","6","5","5","5","4","4","1","1","1","0","0","1","1","1","0","0","0","0","0","0","","2","Freedom in working time and meaningfulness","Lab/online research","Postdoc","Health sciences","Woman","33","Sweden",""
838,"663",TRUE,"2026-02-09 10:20:26","Yes","Project genesis/ first thoughts/ idea creation","","","7","7","6","7","7","5","5","6","0","0","0","0","0","0","3","0","0","0","0","0","I think exploring new possibilities and picture my self in a new project make me very excited with the expectation of how much I will learn and new experiences I will have, so at this stage it is always good feelings, excitement, positive surprises with the initial learning","2","alignment with my values such as independence, freedom, learning/growth in every activity. It is not just positive when it need to be repetitive and monotonous","Lab/online research","Postdoc","Health sciences","Woman","37","United Kingdom of Great Britain and Northern Ireland",""
839,"776",TRUE,"2026-02-09 10:21:53","Yes","Data analysis","","","7","3","5","5","6","6","6","6","4","1","6","1","1","1","3","6","1","1","1","1","Well analysis going well, results looks very inetresnig to me, quite now in the context. But of couse I have doubts abut the reviewers position, if they going to see these results same as me.","3","This is very intresting job. I do not think that any other job could be as satisfying as this.","Field research","Assistant professor","Life sciences","Woman","33","Lithuania",""
840,"180",TRUE,"2026-02-09 10:32:21","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","6","5","5","7","6","6","7","7","2","5","1","1","1","1","1","5","0","0","0","0","this is what I always dreamed to do","3","can't do anything else","Clinical research","Full professor","Life sciences","Man","50","Italy",""
841,"276",TRUE,"2026-02-09 10:38:16","Yes","Project genesis/ first thoughts/ idea creation","","","6","5","4","5","5","4","3","6","4","5","0","1","0","1","0","4","0","0","0","0","We have been asked to join a really interesting and innovative project, which could potentially improve the lives of a large amount of people. ","2","I get to work on many interesting topics which contribute to improving societal outcomes.","Clinical research","PhD student","Health sciences","Woman","26","Netherlands",""
842,"2530",TRUE,"2026-02-09 10:41:12","Yes","Data collection","","","6","6","3","2","2","4","2","3","3","3","6","0","4","0","5","0","0","0","0","3","difficulty in getting responses from participants ","1","comes with lots of pressure ","Lab/online research","Assistant professor","Health sciences","Man","39","Australia",""
843,"286",TRUE,"2026-02-09 10:48:21","Yes","Project genesis/ first thoughts/ idea creation","","","6","7","6","6","6","6","5","5","3","1","0","0","0","0","0","1","0","0","0","0","the excitement of generating new ideas ","2","freedom and creativity","Field research","Full professor","Life sciences","Man","59","Italy",""
844,"203",TRUE,"2026-02-09 10:49:10","Yes","Report writing","","","5","3","6","3","1","1","4","6","5","3","0","0","3","0","0","3","0","3","0","0","","1","","Lab/online research","PhD student","Health sciences","Woman","31","United Kingdom of Great Britain and Northern Ireland",""
845,"458",TRUE,"2026-02-09 10:50:33","Yes","Data collection","","","5","4","5","4","4","6","4","2","1","4","2","2","2","1","1","1","1","1","1","3","working under time pressure, conducting multiple tasks at the same time, working with people with different experiences and skills","3","the impact of my work affect more patients compared to working in direct patient care","Clinical research","Non-academic researcher","Health sciences","Man","54","Austria",""
846,"929354",TRUE,"2026-02-09 10:57:39","Yes","Data collection","","","7","0","5","5","5","3","0","0","0","7","5","5","0","0","0","2","0","0","0","2","My project deals with immigrants who are in the family justice system. Their struggles are intense and hearing about their stories evokes strong feelings of compassion","2","autonomy, interest, mastery, meaning","Field research","Full professor","Social sciences","Woman","44","United Kingdom of Great Britain and Northern Ireland",""
847,"182",TRUE,"2026-02-09 11:07:15","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","5","5","7","5","0","0","0","0","2","1","2","0","0","0","4","1","0","0","0","4","","2","","Clinical research","Postdoc","Health sciences","Man","34","Denmark",""
848,"1086",TRUE,"2026-02-09 11:10:15","Yes","Data collection","","","5","6","5","5","6","4","1","2","2","3","2","0","0","0","3","2","2","0","0","4","I have been working as a senior researcher in a project since last year. The other members of the research team were assumed to participate in data collection phase but I did not receive any helpful assistance from them. ","2","First of all, I love the world of research and discovering new things. secondly, I believe the findings of my research can improve the life of target community somehow.","Field research","Assistant professor","Health sciences","Woman","44","Iran",""
849,"122",TRUE,"2026-02-09 11:15:02","Yes","Data collection","","","3","4","5","4","4","4","3","1","0","4","1","1","5","2","6","5","1","3","1","1","","2","","Clinical research","Associate professor","Health sciences","Man","37","Norway",""
850,"383",TRUE,"2026-02-09 11:29:42","Yes","Data collection","","","6","3","3","4","4","6","0","2","4","0","0","0","0","0","1","0","0","0","0","0","Happy and content that I was successful in obtaining the data needed to answer the research questions.","2","Independence and freedom to explore new areas of research and collaborate with nice people. Experiencing the satisfaction to get a job done and paper published.","Clinical research","Associate professor","Life sciences","Man","57","Netherlands",""
851,"928",TRUE,"2026-02-09 11:37:14","Yes","Data analysis","","","7","6","6","7","7","5","7","7","5","5","0","0","0","0","0","2","1","0","0","0","The data analysis is exciting to perform the data analysis. It highlight the results of your work.
It significantly contribute to draw the conclusion of the study and point out the what could be the perspectives.","2","The research helps to understand issues and somehow they can be resolved.","Clinical research","Associate professor","Health sciences","Man","56","Mali",""
852,"654",TRUE,"2026-02-09 11:37:41","Yes","Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Rejected and abandoned","","","","","","","7","","","","","","","","","7","","","","","","","3","Doing something for mankind","Lab/online research","Associate professor","Life sciences","Woman","45","Pakistan",""
853,"878027",TRUE,"2026-02-09 11:40:46","Yes","Data collection","","","4","2","4","2","2","3","3","2","0","0","2","0","0","0","0","0","0","1","0","0","","0","I feel that my ideas are very innovative.","Clinical research","Associate professor","Health sciences","Man","46","Greece",""
854,"1561",TRUE,"2026-02-09 11:41:15","Yes","Data collection","","","7","5","2","3","5","3","0","0","2","0","3","1","1","1","4","5","1","0","1","1","Data collection is (in my opinion) one of the most interesting stage of a research project since the technical aspects have more or less already been validated and the project reaches a stage where it yields answers to the questions that were initially defined. This is an intellectually stimulating phase where we alternate between experiments, data analysis and brainstorming, to validate or invalidate initial hypotheses, generate new hypotheses and design new experiments to address them. It is also a stage in which opposite emotions, such as pleasure, amusement and fear, can alternate as positive or negative results are collected.","-1","Our work leads us to alternate between joy, fear, sadness and anger as we obtain (or not) funding to carry out our projects, we obtain positive or negative results, we discover flaws in our experimental designs or simply external problems that can negatively affect the outcome of our experiments. We are in constant competition with other scientists which can also have a negative impact on our feelings. However, it is also a very rewarding job when we are able to collect good results, and finis a project.","Lab/online research","Full professor","Life sciences","Man","42","France",""
855,"5036",TRUE,"2026-02-09 11:49:03","Yes","Data analysis","","","7","3","5","5","2","3","2","2","1","1","1","1","2","1","1","3","0","0","0","0","","2","","Field research","Assistant professor","Social sciences","Woman","32","Denmark",""
856,"160",TRUE,"2026-02-09 11:57:49","Yes","Data analysis","","","7","1","6","6","6","6","6","3","1","3","0","0","0","0","2","0","0","0","0","0","love for research outcomes","2","","Lab/online research","Associate professor","Life sciences","Man","51","Netherlands",""
857,"212",TRUE,"2026-02-09 11:58:33","Yes","Data collection","","","5","0","4","0","0","0","0","0","0","3","1","0","0","0","0","0","0","2","0","2","The reason we are doing the study ","2","Accomplishment ","Clinical research","Full professor","Health sciences","Man","52","United States of America",""
858,"252",TRUE,"2026-02-09 12:23:09","Yes","Data collection","","","7","7","7","4","7","2","0","3","3","0","0","2","0","0","2","5","0","2","0","2","The project is excellent, the technical work is within our capability, and some of the students working with me are wonderful.","3","I have received acknowledgement from my peers and former teachers for legitimate contributions. And, I have had ample resources to conduct my projects. ","Lab/online research","Full professor","Life sciences","Man","75","United States of America",""
859,"200",TRUE,"2026-02-09 12:26:06","Yes","Data analysis","","","7","4","6","6","6","6","4","6","7","4","1","1","1","1","1","1","1","1","1","1","Fullfilment in my work","2","My work has purpose","Clinical research","Full professor","Health sciences","Man","74","South Africa",""
860,"266",TRUE,"2026-02-09 12:28:43","Yes","Project genesis/ first thoughts/ idea creation","","","7","6","6","5","5","5","2","4","4","4","1","0","0","0","1","2","0","0","0","0","I love the idea","2","I advance every year","Field research","Associate professor","Health sciences","Man","49","Spain",""
861,"386",TRUE,"2026-02-09 12:29:17","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","7","4","3","2","0","0","0","0","0","0","7","4","3","2","4","6","4","7","5","6","Feeling like I am singled out for greater scrutiny as a URM female (USA)","1","It could be worse. I worked a lot of crappy jobs to pay for undergrad and I am glad I did not get stuck. I have tenure, I have funding for now, so I get to study a topic I feel passionate about.","Lab/online research","Full professor","Life sciences","Woman","100","United States of America",""
862,"216",TRUE,"2026-02-09 12:29:50","Yes","Project genesis/ first thoughts/ idea creation","","","3","0","0","0","0","4","0","1","2","0","0","0","0","0","0","0","0","0","0","0","I guess it felt good to be done with the task, other than that it wasn’t that emotional in either direction ","-1","Workload, insecurity of funding, papers getting accepted, etc","Field research","Associate professor","Social sciences","Man","42","Sweden",""
863,"166",TRUE,"2026-02-09 12:42:19","Yes","Waiting for journal's response and revisions","","","3","4","4","5","5","4","3","2","4","2","0","0","0","0","0","1","0","0","0","0","","2","progress of humankind","Clinical research","Non-academic researcher","Life sciences","Man","52","Italy",""
864,"3115",TRUE,"2026-02-09 12:43:10","Yes","Project genesis/ first thoughts/ idea creation","","","6","4","6","7","6","6","5","6","6","7","1","0","0","0","0","1","0","0","0","0","Pleasure to explore, be more creative, experimenting new","3","Independentship","Lab/online research","Full professor","Life sciences","Man","44","India",""
865,"934398",TRUE,"2026-02-09 12:52:40","Yes","Project genesis/ first thoughts/ idea creation","","","7","4","4","4","4","0","0","0","0","0","2","0","0","4","4","5","0","0","0","0","passion for my work, my line of research, my career","1","the bad organization of my insitute and my Nation","Lab/online research","Non-academic researcher","Life sciences","Woman","50","Italy",""
866,"335",TRUE,"2026-02-09 13:03:04","Yes","Project genesis/ first thoughts/ idea creation","","","5","0","5","0","0","3","0","4","2","6","5","2","2","2","5","5","0","2","0","4","Overwhelm ","2","Passion for the work I do. Seeing how it can make a difference. But it's not always appreciated or recognised by other departments who aren't researchers e.g.finance, fundraising, comms, trustees","Lab/online research","Non-academic researcher","Social sciences","Woman","49","United Kingdom of Great Britain and Northern Ireland",""
867,"291",TRUE,"2026-02-09 13:33:55","Yes","Revisions","","","1","1","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","","0","stressful, endless projects and papers ","Clinical research","Postdoc","Health sciences","Man","37","Australia",""
868,"783",TRUE,"2026-02-09 13:40:00","Yes","Waiting for journal's response and revisions","","","6","3","6","6","6","6","3","5","7","1","2","4","4","3","3","4","0","0","0","1","Relief that the work has been submitted. That most work is done.","1","Doing research goes with ups and downs, and so do your feelings. Working with professors who aren't managers is hard and frustrating","Clinical research","PhD student","Life sciences","Woman","30","Belgium",""
869,"437",TRUE,"2026-02-09 13:40:00","Yes","Data analysis","","","6","0","5","4","4","4","0","2","1","6","6","5","0","0","2","0","0","0","0","1","We undertake qualitative interviews and people's narratives are often very vivid and so can be quite sad (work in end of life care), but it can make you upset that these people do not receive the care they deserve, or pleased they have been so well cared for. If my researcher has undertaken the interviews it can make be proud and happy to see her skills when I read the transcripts.","2","I enjoy the work, meeting patients and families, trying to hear their stories and hoping to change things for the better because of what they have told me.","Field research","Associate professor","Health sciences","Woman","49","United Kingdom of Great Britain and Northern Ireland","England"
870,"939458",TRUE,"2026-02-09 13:47:35","Yes","Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Accepted and published","","5","3","5","5","5","5","0","2","5","3","1","0","0","0","0","0","0","0","0","3","Anger: not justified rejection in target paper
Pride: that the project, that is my baby, was finally published","2","I have fianlized and published a lot of projects and they have an impact","Clinical research","Associate professor","Health sciences","Man","57","Germany",""
871,"1123",TRUE,"2026-02-09 13:48:12","Yes","Data collection","","","1","1","1","1","1","1","1","1","1","1","7","7","7","7","7","7","7","7","7","7","Personally, I believe I did not have an effective supervisor. I genuinely tried my best every single day, asked many questions, and searched extensively for ways to improve my work. However, due to a few minor mistakes, my supervisor ignored all my efforts and placed the blame entirely on me. I felt ashamed at the time and apologized, but he stopped responding to me. This was the worst experience I had during my research years. After discussing this with fellow researchers, they confirmed that his behavior was inappropriate, as such mistakes are completely normal and perfection is unrealistic. I strongly believe that working with mentally healthy individuals is essential.","2","I have enough experience and others ask me for help.","Clinical research","Non-academic researcher","Health sciences","Woman","33","Iran",""
872,"763",TRUE,"2026-02-09 14:05:03","Yes","Waiting for journal's response and revisions","","","5","1","6","4","4","3","0","4","6","0","3","3","1","4","4","4","0","3","0","1","Pride and relief because the paper got immediately rejected from our first choice journal but then went into peer review in our second choice journal, which has a higher impact factor ","2","it's interesting and stimulating most of the time. Also, it's quite time flexible (I like to start around midday and work until late in the evening, which is usually not a problem)","Clinical research","PhD student","Life sciences","Woman","28","United Kingdom of Great Britain and Northern Ireland",""
873,"449",TRUE,"2026-02-09 14:08:48","Yes","Data collection","","","5","3","4","3","3","4","1","5","3","3","0","0","0","0","1","1","0","0","0","0","Admiration- a large part of the data collection is being done by another leader of the program as a mentoring project with some students. They are doing an excellent job.","2","Getting data out there that is useful to the advancement of my field","Clinical research","Full professor","Health sciences","Woman","60","United States of America",""
874,"155",TRUE,"2026-02-09 14:26:35","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","3","2","1","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","","1","","Lab/online research","Other","","Woman","35","Canada",""
875,"302",TRUE,"2026-02-09 14:32:58","Yes","Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Rejected and being revised","","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","4","The manuscript was not rejected completely but not accepted in current version and had to review and reviewers' comments were pretty intense and not necessarily that useful but still taking a lot of time from me, that I don't have","-2","Getting funding is almost impossible now and it's frustrating","Field research","Associate professor","Health sciences","Woman","56","United States of America",""
876,"143",TRUE,"2026-02-09 14:34:47","Yes","Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Accepted and published","","","","","","","","","","","","","","","","","","","","","","","0","It is satisfying once completed, however very demanding, challenging, not recognized","Clinical research","Non-academic researcher","Health sciences","Woman","31","United States of America",""
877,"225",TRUE,"2026-02-09 14:40:59","Yes","Report writing","","","6","0","6","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","we hope that our studies will help move the field forward.","2","we continue to learn new and important information.","Lab/online research","Full professor","Life sciences","Man","62","United States of America",""
878,"197",TRUE,"2026-02-09 15:19:27","Yes","Report writing","","","7","3","7","4","4","4","0","3","3","0","0","0","0","0","0","0","0","0","0","0","","2","","Clinical research","Associate professor","Health sciences","Woman","42","Canada",""
879,"218",TRUE,"2026-02-09 15:40:56","Yes","Data analysis","","","7","6","7","7","7","7","0","5","0","6","0","0","0","0","0","0","0","0","0","0","I am proud of the work my lab does. Also, I appreciate, respect, and trust every member of my lab --> I take immense pride in what we do.","2","Being researcher is hard and being a researcher at a teaching institution even harder. Yet, I find joys in every day moments + pride in the contributions we do.","Lab/online research","Associate professor","Life sciences","Woman","49","United States of America",""
880,"539",TRUE,"2026-02-09 15:57:44","Yes","Report writing","","","5","6","6","6","6","5","1","1","5","1","1","1","1","1","1","1","1","1","1","1","","1","I love being a researcher but there is censorship at my institution that makes me feel negative and apprehensive about it.","Lab/online research","Assistant professor","Social sciences","Woman","34","United States of America",""
881,"6074",TRUE,"2026-02-09 16:05:53","Yes","Project genesis/ first thoughts/ idea creation","","","7","5","5","6","6","4","3","5","2","2","5","0","1","0","7","3","7","0","0","0","disballance between expectation and suport of academic environment","-2","Negative Academic environment (Peer support), competitive environment","Clinical research","Assistant professor","Health sciences","Man","65","Belgium",""
882,"248",TRUE,"2026-02-09 16:17:55","Yes","Report writing","","","4","3","2","4","4","4","2","2","5","4","2","1","5","1","5","2","1","1","1","2","Not a lot of intense feelings- the process is slow and methodical, and I usually keep a cool head.","2","It’s really amazing to be paid to design experiments based on things I’m curious about","Lab/online research","Full professor","Social sciences","Woman","49","United States of America",""
883,"20632",TRUE,"2026-02-09 16:20:43","Yes","Report writing","","","6","6","5","6","6","4","0","0","0","0","0","0","2","0","3","0","0","0","0","0","","2","","Clinical research","Full professor","Health sciences","Man","52","Norway",""
884,"259",TRUE,"2026-02-09 16:23:02","Yes","Data analysis","","","7","7","7","7","7","7","5","5","1","1","0","0","0","0","1","0","0","0","0","0","","3","I enjoy doing my work. It is a calling","Clinical research","Associate professor","Health sciences","Woman","","United States of America",""
885,"273",TRUE,"2026-02-09 17:18:03","Yes","Data collection","","","6","6","6","6","6","5","6","6","2","6","0","0","3","0","0","3","0","0","0","0","Uncertainty, lack of funds","2","Rewarding by the results and by the mentees","Clinical research","Assistant professor","Health sciences","Woman","37","Canada",""
886,"318",TRUE,"2026-02-09 17:33:51","Yes","Report writing","","","4","1","6","2","3","5","1","2","1","0","0","0","0","0","0","0","0","0","0","0","frustration with delays in trying to complete the manuscript","1","primarily I am a clinical lab director who supports research","Lab/online research","Full professor","Health sciences","Prefer not to say","29","United States of America",""
887,"953217",TRUE,"2026-02-09 17:39:05","Yes","Data collection","","","4","3","4","3","3","2","2","3","3","1","2","1","1","1","2","2","1","1","1","2","","-1","Scarcity of permanent jobs in academia","Lab/online research","Postdoc","Life sciences","Man","34","United Kingdom of Great Britain and Northern Ireland",""
888,"130",TRUE,"2026-02-09 19:28:04","Yes","Waiting for journal's response and revisions","","","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1","","1","","Field research","Non-academic researcher","Social sciences","Woman","43","United States of America",""
889,"496",TRUE,"2026-02-09 20:13:15","Yes","Reality check (e.g., literature search, consultation with colleagues)","","","6","5","5","5","5","5","5","5","2","0","2","5","0","0","4","5","2","4","0","0","I usually enjoy the research process, but the obligation and time to perform may be harsh","3","I´m free to choose my research´s topic, and I can manage my own time","Lab/online research","Full professor","Social sciences","Woman","58","Mexico",""
890,"294",TRUE,"2026-02-09 20:43:46","Yes","Data analysis","","","5","5","5","4","3","3","5","7","4","6","5","7","3","3","4","0","3","4","0","3","","-1","I’ve worked 80/100 hour weeks for months without sufficient pay. I’ve been exploited multiple times when doing research.","Field research","PhD student","Life sciences","Woman","25","Canada",""
891,"288",TRUE,"2026-02-09 20:47:36","Yes","Project genesis/ first thoughts/ idea creation","","","7","7","7","7","7","7","7","7","7","7","7","0","4","1","1","3","1","0","0","2","","0","","Lab/online research","Research assistant","Health sciences","Man","27","Iran","Turkey"
892,"121",TRUE,"2026-02-09 21:23:47","Yes","Data analysis","","","6","0","6","3","4","4","0","2","1","0","0","0","0","0","0","0","0","0","0","0","","2","","Clinical research","Postdoc","Health sciences","Woman","46","New Zealand",""
893,"926055",TRUE,"2026-02-09 22:50:28","Yes","Report writing","","","7","1","5","1","1","1","0","0","7","0","0","0","0","0","0","0","0","0","0","0","I remained interested in my project topic, and was relieved once the entire manuscript was written. ","1","Pressure ","Clinical research","PhD student","Health sciences","Woman","40","Australia",""
894,"199",TRUE,"2026-02-09 23:02:45","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","5","2","5","4","5","5","2","2","1","5","1","1","4","1","3","4","1","1","1","1","","0","unclear career path. ","Lab/online research","Postdoc","Social sciences","Woman","40","Canada",""
895,"43294",TRUE,"2026-02-09 23:22:16","Yes","Report writing","","","6","5","6","5","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","Interest and pride. I feel it is a good work.","2","I like it","Clinical research","Other","Health sciences","Man","64","Spain",""
896,"866551",TRUE,"2026-02-09 23:40:37","Yes","Data collection","","","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","I enjoy research, but its still work","3","I enjoy pursuing projects that I created to fill clinical gaps in care.","Clinical research","Associate professor","Health sciences","Woman","48","United States of America",""
897,"326",TRUE,"2026-02-09 23:49:55","Yes","Report writing","","","4","2","2","1","1","1","1","1","1","1","7","7","7","3","7","5","7","7","7","7","All the work that is done within a project is constantly dismissed by tuthors, universities or journals. All the effort that you put into a project for your PhD or some degree is never compensated by a good job, salary or some kind of financial security. ","-3","You dont have any kind of security, as a student (even PhD) you are completely disposable","Field research","PhD student","Life sciences","Woman","36","Mexico",""
898,"424",TRUE,"2026-02-10 00:43:18","Yes","Revisions","","","4","2","3","2","2","3","0","0","3","0","2","0","0","2","4","0","0","2","0","2","Disappointment: receiving detailed peer review feedback that requires significant time to address, despite the overall positive tone.","1","The possibility to contribute to positive changes to the clinical landscape.","Clinical research","PhD student","Health sciences","Non-binary / third gender / gender non-conforming","28","Australia",""
899,"285",TRUE,"2026-02-10 00:44:54","Yes","Data analysis","","","6","0","4","3","1","2","0","0","1","2","0","0","3","0","2","0","0","0","0","0","The data analysis phase is when you see the data you gathered and make meaning of it. These 'answers' are why you did the research in the first place.","0","Research funding landscape","Clinical research","Full professor","Health sciences","Woman","60","Australia",""
900,"248",TRUE,"2026-02-10 00:49:29","Yes","Report writing","","","7","2","4","5","6","4","0","2","2","0","0","2","2","1","1","1","0","0","0","0","interest and pleasure were due to an exciting project and my personality","2","exciting career, working with brilliant minds and ideas","Field research","Full professor","Social sciences","Woman","60","Canada",""
901,"47257",TRUE,"2026-02-10 02:13:47","Yes","Report writing","","","5","3","5","4","4","2","0","4","5","0","0","1","1","1","1","2","0","0","0","0","Pride at seeing work come together successfully","2","Flexible, interesting lifestyle","Lab/online research","Full professor","Health sciences","Man","48","Canada",""
902,"6119",TRUE,"2026-02-10 03:32:50","Yes","Reality check (e.g., literature search, consultation with colleagues)","","","7","1","2","2","3","3","1","2","3","3","0","0","2","0","2","5","0","0","0","0","I had plenty of interest in the project because I felt it had big potential","2","I’m good at it, I have plenty of challenge and engagement, and it rewards me with flexibility and opportunity ","Lab/online research","Non-academic researcher","Health sciences","Man","41","Israel",""
903,"280",TRUE,"2026-02-10 03:55:40","Yes","Data analysis","","","5","2","4","2","1","3","0","5","5","0","5","6","6","6","4","2","0","0","0","0","I have been feeling very guilty for not completing the analysis sooner, because my collaborators have been waiting for the results. And because the research funding situation is so uncertain, I also feel guilty because I am lucky to have a job but I am not being productive enough","1","I like my job and the flexibility and freedom we have, but the uncertainty of funding makes me feel anxious and hopeless","Lab/online research","Postdoc","Health sciences","Woman","27","Australia",""
904,"224",TRUE,"2026-02-10 04:18:02","Yes","Project genesis/ first thoughts/ idea creation","","","6","0","6","5","4","4","0","5","1","3","1","1","1","1","1","5","1","1","1","1","the project ideas are generating and I feel excited and motivated at this early stage. Also a little fearful of the work ahead","1","I am a novice researcher therefore I am still learning","Field research","PhD student","Social sciences","Woman","49","Australia",""
905,"754",TRUE,"2026-02-10 05:19:50","Yes","Report writing","","","4","4","5","4","4","3","0","5","3","0","0","0","0","0","0","0","0","0","0","0","Admiration and pride: advancing medicine and helping humanity, rewarding for the hardwork","1","Achievement","Clinical research","Non-academic researcher","Health sciences","Man","54","India",""
906,"834",TRUE,"2026-02-10 08:08:40","Yes","Report writing","","","5","4","3","3","3","4","1","1","3","0","0","0","0","0","1","1","0","0","0","0","Interest in the most intense feeling I indicated above. The main cause of this feeling for me is going deeper into the data, noticing some patterns, finding it interesting, reading literature and finding interesting links with your data. 
This wasn't in the list of feelings but it also brings satisfaction when you are able to write a decent paper and to have a good ""final product"" that marks the end of a long research project.","1","I'm a PhD candidate so it's probably a particular ""researcher position"" as well. It comes with stress and challenges but I also have a supervisor I appreciate, who gives me a lot flexibility and lets me manage my work and my time the way I want to, which I strongly appreciate.","Field research","PhD student","Social sciences","Woman","30","Belgium",""
907,"1061",TRUE,"2026-02-10 09:47:08","Yes","Report writing","","","6","0","4","0","5","1","0","0","0","0","4","6","4","6","6","4","0","0","0","0","While I had high interest in the subject and got pleasure in working on it, I was disappointed that it fell short of what I had originally conceptualized for the project.","1","While I enjoy doing research, I experience struggles with acceptance and disappointment with research quality and translation of research to policy","Lab/online research","Other","Life sciences","Woman","","Netherlands",""
908,"683519",TRUE,"2026-02-10 10:47:20","Yes","Project genesis/ first thoughts/ idea creation","","","6","1","2","2","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","part of the job, minimum feelings are involved ","2","discovery and providing solutions","Lab/online research","Associate professor","Life sciences","Man","54","United Kingdom of Great Britain and Northern Ireland",""
909,"692",TRUE,"2026-02-10 11:42:00","Yes","Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Accepted and published","","7","6","7","7","7","7","6","4","1","7","1","0","1","0","0","6","0","0","0","6","Joy was the most intense. I felt Flow during the writing. I was grateful for the co-authors contribuations and for their best efforts and deepest thoughts for the writing. I was excited to find and present, and especially explain our results.","1","Tense, stress","Clinical research","Postdoc","Social sciences","Woman","53","Israel",""
910,"1009893",TRUE,"2026-02-10 13:47:52","Yes","Revisions","","","5","2","4","4","6","6","1","1","4","1","3","3","1","1","1","1","1","1","1","2","I quite enjoy the job that I do.","2","I like the job and the academic lifestyle. Point off max for the intermittent bouts of anxiety due to the precarity of my situation.","Lab/online research","Postdoc","Social sciences","Man","36","Sweden",""
911,"371",TRUE,"2026-02-10 14:21:18","Yes","Waiting for journal's response and revisions","","","2","1","4","3","3","3","0","2","4","0","3","4","5","3","2","5","0","0","0","2","Dissatisfaction that the work is not as good as it could be / was envisioned.","-1","The research itself is overwhelmingly positive, but the sense of judgement that follows is very negative.","Lab/online research","Full professor","Social sciences","Prefer not to say","47","United Kingdom of Great Britain and Northern Ireland",""
912,"288",TRUE,"2026-02-10 16:29:49","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","5","2","3","1","3","2","2","2","2","3","2","5","3","2","4","3","2","2","0","1","Interest in the scientific question I was planning to address.","-1","The pressure to obtain funding to support research.","Lab/online research","Associate professor","Health sciences","Man","52","United States of America",""
