StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,dismiss_1,research_stage,Q22,Q22_6_TEXT,feeling_stage_1,feeling_stage_2,feeling_stage_3,feeling_stage_4,feeling_stage_5,feeling_stage_6,feeling_stage_7,feeling_stage_8,feeling_stage_9,feeling_stage_10,feeling_stage_11,feeling_stage_12,feeling_stage_13,feeling_stage_14,feeling_stage_15,feeling_stage_16,feeling_stage_17,feeling_stage_18,feeling_stage_19,feeling_stage_20,cause_stage,feeling_general_1,cause_general,category_of_work,position,area,gender,age,country,country_other
2026-01-29 17:31:26,2026-01-29 17:35:56,IP Address,100,270,True,2026-01-29 17:35:57,R_78Co4CY2ktkG27W,email,EN,Yes,Data analysis,,,5,1,3,3,4,2,1,4,1,0,0,5,1,1,1,0,0,0,0,0,"Interest in emerging results from a study that has been underway for several years, but also guilt because I doubt my advanced statistical skills and have to lean on my team members for some of that heavy lift. ",2,"I have an amazing team of co-researchers and support staff. I also am super committed to bettering the life of my target population (LGBTQ+ youth and adults). ",Lab/online research,Associate professor,Social sciences,Woman,55,United States of America,
2026-01-29 17:34:24,2026-01-29 17:36:56,IP Address,100,152,True,2026-01-29 17:36:57,R_81dgZofALLNXx8r,email,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,6,6,6,6,6,4,3,3,2,2,2,2,1,1,4,3,1,4,1,4,Struggling with the ethics application and fulfilling all of their requirements.,1,My work is meaningful.,Clinical research,Postdoc,Health sciences,Woman,33,Switzerland,
2026-01-29 17:34:41,2026-01-29 17:37:47,IP Address,100,186,True,2026-01-29 17:37:48,R_11peEcwuhIrp3dU,email,EN,Yes,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",Accepted and published,,4,1,3,3,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Just happy the project was accepted,3,intellectual engagement and training,Lab/online research,Full professor,Life sciences,Man,76,United States of America,
2026-01-29 17:22:30,2026-01-29 17:37:59,IP Address,100,929,True,2026-01-29 17:38:00,R_87sazyxt17ZTFeP,email,EN,Yes,Data collection,,,7,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pride: This is a project that is based on an original and bold hypothesis that I had made, and the available results confirm this hypothesis and show that it was correct.",3,I've loved science since I was a child and I have a job I love. I'm also proud to have had a successful career as a researcher (I'm nearing retirement).,Clinical research,Full professor,Life sciences,Man,63,France,
2026-01-29 17:36:08,2026-01-29 17:38:28,IP Address,100,139,True,2026-01-29 17:38:28,R_5PtXJ5V98iP6xUx,email,EN,Yes,Data collection,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-3,,Lab/online research,Full professor,Health sciences,Woman,47,United States of America,
2026-01-29 17:28:43,2026-01-29 17:40:12,IP Address,100,689,True,2026-01-29 17:40:12,R_8n8g1W3YUEewIFj,email,EN,Yes,Waiting for journal's response and revisions,,,4,4,6,5,5,6,0,1,6,4,1,1,0,0,0,3,0,0,0,0,"Finishing my part of work and being positive that it will be published soon in an international journal so I’m feeling worried and fear but mostly I’m keeping the positive attitude and hoping everything go well ",2,I like being researcher and hope to always add knowledge to myself and others but I afraid not always the facilities are there to continue  so I didn’t choose 3,Clinical research,Assistant professor,Health sciences,Woman,39,Egypt,
2026-01-29 17:35:00,2026-01-29 17:40:45,IP Address,100,345,True,2026-01-29 17:40:45,R_396NfMSM4JsfSPf,email,EN,Yes,Report writing,,,7,0,5,0,5,7,0,0,0,0,0,0,0,0,0,0,6,6,3,6,Sponsor (commercial entity),1,Achievement,Clinical research,Full professor,Health sciences,Man,76,United States of America,
2026-01-29 17:36:19,2026-01-29 17:41:11,IP Address,100,292,True,2026-01-29 17:41:11,R_22Zy0QrtFxqFGNj,email,EN,Yes,Data collection,,,6,1,3,3,4,4,2,2,2,1,6,2,0,0,5,2,0,0,0,5,Institutional bottlenecks and work overload,-1,"My job is very poorly paid, extractive and no longer rewarding",Lab/online research,Assistant professor,Social sciences,Man,39,United Kingdom of Great Britain and Northern Ireland,
2026-01-29 17:36:46,2026-01-29 17:41:47,IP Address,100,300,True,2026-01-29 17:41:48,R_11v90glJ1Qgxetr,email,EN,Yes,"Reality check (e.g., literature search, consultation with colleagues)",,,6,6,3,5,4,6,3,4,3,3,0,2,0,0,0,0,0,0,0,0,curiosity and excitement to work in a new project,3,"It fulfils a need for self-improvement, self-governance, acquiring new knowledge. I also love my line of research, and love a good puzzle",Lab/online research,Assistant professor,Life sciences,Woman,47,United States of America,
2026-01-29 17:38:54,2026-01-29 17:42:22,IP Address,100,208,True,2026-01-29 17:42:23,R_2CLysIq4lKzkbGF,email,EN,Yes,Data analysis,,,7,7,5,6,4,5,3,4,7,4,1,0,0,0,1,0,0,0,0,0,I like my job :),1,"Research is not taken as a real job, more like a hobby",Clinical research,Associate professor,Health sciences,Man,39,Poland,
2026-01-29 17:40:37,2026-01-29 17:42:29,IP Address,100,111,True,2026-01-29 17:42:29,R_2Ys4HIDXIriZI2d,email,EN,Yes,Data analysis,,,5,5,4,4,3,5,1,3,0,2,2,1,1,0,0,0,0,0,0,0,Intrest. Science.,3,"My life is great, my research comes second.",Clinical research,Postdoc,Life sciences,Man,31,Netherlands,
2026-01-29 17:24:11,2026-01-29 17:43:06,IP Address,100,1135,True,2026-01-29 17:43:07,R_89uGOLoyoC542ws,email,EN,Yes,Project genesis/ first thoughts/ idea creation,,,7,4,6,6,2,2,6,4,1,7,4,0,5,0,3,0,5,7,6,7,"This is a great idea for a research project with high policy relevance but it was rejected for funding once and I am trying to resubmit after having done a lot of the work without any funding. The funding process is so flawed and getting worse. I am also very angry and full of resentment because there are funds internally to get the work done but some colleagues are more entitled to that money than others. ",0,"There are some real highs and real lows which kind of balance out which is why I have not changed career. ",Field research,Associate professor,Health sciences,Woman,50,United Kingdom of Great Britain and Northern Ireland,
2026-01-29 17:45:37,2026-01-29 17:46:55,IP Address,100,77,True,2026-01-29 17:46:55,R_83YrTXdqxwfaTEB,email,EN,Yes,Revisions,,,5,5,4,3,5,6,6,4,6,6,4,6,6,5,5,6,4,6,5,6,,2,,Clinical research,Research assistant,Health sciences,Woman,30,Italy,
2026-01-29 17:44:23,2026-01-29 17:47:30,IP Address,100,187,True,2026-01-29 17:47:31,R_2t7N90IFZuWBaVz,email,EN,Yes,Project genesis/ first thoughts/ idea creation,,,6,2,5,2,2,6,1,1,4,1,0,0,0,0,0,0,0,0,0,0,Researching a completely new topic with potentially clinically-impacful findings,2,I enjoy developing and testing new ideas,Lab/online research,Associate professor,Life sciences,Man,48,United Kingdom of Great Britain and Northern Ireland,
2026-01-29 17:47:58,2026-01-29 17:51:23,IP Address,100,205,True,2026-01-29 17:51:24,R_3XdVWtd2vabMzuh,email,EN,Yes,Waiting for journal's response and revisions,,,7,3,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,Love doing the research,3,"I feel like I don't have a job, I have a hobby",Field research,Full professor,Life sciences,Man,60,United States of America,
2026-01-29 17:47:54,2026-01-29 17:51:29,IP Address,100,215,True,2026-01-29 17:51:30,R_94zNFb735rLkoDt,email,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,5,5,3,2,2,3,2,4,3,2,2,0,0,0,0,0,0,2,0,0,"Mental fatigue ",1,"I enjoy doing research ",Lab/online research,Full professor,Health sciences,Man,50,India,
2026-01-29 17:45:20,2026-01-29 17:52:32,IP Address,100,431,True,2026-01-29 17:52:33,R_1foqCmAlMi1fbqt,email,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,3,0,0,0,0,0,0,0,0,0,2,2,2,0,3,0,4,3,0,5,"So much frustration with paperwork, month-long holdups over a few minor errors in informed consent",2,"Even though frustrating, there is a great feeling after successfully completing a project",Clinical research,Full professor,Health sciences,Man,69,United States of America,
2026-01-29 17:50:51,2026-01-29 17:52:54,IP Address,100,123,True,2026-01-29 17:52:54,R_83jTXKXD6rFQR8Z,email,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,6,5,5,5,6,3,3,2,5,2,1,6,1,2,6,4,0,0,1,1,,2,,Lab/online research,Associate professor,Life sciences,Man,43,Sweden,
2026-01-29 17:52:23,2026-01-29 17:54:04,IP Address,100,101,True,2026-01-29 17:54:05,R_7TMHoLfRVQ44dsR,email,EN,Yes,Project genesis/ first thoughts/ idea creation,,,7,5,5,5,6,6,4,4,4,4,0,0,0,0,2,2,0,0,0,0,,2,,Clinical research,Assistant professor,Health sciences,Man,46,United States of America,
2026-01-29 17:50:34,2026-01-29 17:54:49,IP Address,100,255,True,2026-01-29 17:54:50,R_21vNL8X8jkJfrEs,email,EN,Yes,Report writing,,,5,1,3,3,4,3,1,4,6,1,3,3,3,1,1,5,0,2,0,3,,-1,existential uncertainty/instability,Lab/online research,Postdoc,Social sciences,Man,38,Belgium,
2026-01-29 17:50:31,2026-01-29 17:55:28,IP Address,100,296,True,2026-01-29 17:55:28,R_69h8jN7eKwJUi3K,email,EN,Yes,Data analysis,,,7,0,4,7,7,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,I very much enjoy what I do. It is very satisfying and I feel I am helping students.,3,I have helped many students who have progressed in their careers.,Field research,Full professor,Physical sciences,Man,81,United States of America,
2026-01-29 17:44:36,2026-01-29 17:56:26,IP Address,100,709,True,2026-01-29 17:56:26,R_25DorX6FcWIlrIB,email,EN,Yes,Data analysis,,,6,3,5,5,4,6,1,1,6,3,1,1,2,0,3,1,0,0,0,1,Recent good experimental results.,1,"In general, my job is interesting, being researcher is more interesting than many other jobs and it is done in good environment. Feelings would be more positive if general conditions in science in my country are better.",Lab/online research,Full professor,Life sciences,Man,51,Serbia,
2026-01-29 17:54:39,2026-01-29 17:58:43,IP Address,100,244,True,2026-01-29 17:58:44,R_1fdGzvaKAXgujcm,email,EN,Yes,Data collection,,,5,3,5,4,5,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,I am proud of the quality of data we are generating on a project that is unique and impactful.,-2,Stress and uncertainty regarding funding and the ability to support salaries of those in the lab.,Lab/online research,Full professor,Life sciences,Man,39,United States of America,
2026-01-29 17:58:28,2026-01-29 18:03:30,IP Address,100,302,True,2026-01-29 18:03:30,R_8uOrJy5YmrsEMpz,email,EN,Yes,Waiting for journal's response and revisions,,,5,0,5,5,2,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"contentment - fulfillment of a long conceptual exploration and empirical verification  ",2,"I could not imagine myself doing a different job  ",Lab/online research,Full professor,Social sciences,Woman,65,Italy,
2026-01-29 17:56:12,2026-01-29 18:05:07,IP Address,100,534,True,2026-01-29 18:05:08,R_2eDemIQLyk0LTRv,email,EN,Yes,Report writing,,,5,2,4,1,2,2,0,0,2,0,6,1,5,0,7,6,2,1,0,4,"Disappointment from rejections, in particular, at the late stages of the process.",1,"I love doing research, but the fact that the quality of my work is only nearly irrelevant to my success significantly reduces this positive feeling. ",Lab/online research,Associate professor,Health sciences,Man,55,Germany,
2026-01-29 18:00:28,2026-01-29 18:05:47,IP Address,100,319,True,2026-01-29 18:05:47,R_6xPbF3hjWEYuZjP,email,EN,Yes,"Reality check (e.g., literature search, consultation with colleagues)",,,7,6,6,6,6,6,5,4,1,1,0,0,0,0,0,0,0,0,0,0,Excitement about the potential to bring a new idea to fruition,3,I enjoy being able to solve complex problems,Lab/online research,Full professor,Health sciences,Woman,62,United States of America,
2026-01-29 18:10:35,2026-01-29 18:17:29,IP Address,100,414,True,2026-01-29 18:17:29,R_3EcWAD9h0mSRoxA,email,EN,Yes,Report writing,,,6,1,3,0,0,6,0,4,3,3,0,1,1,1,0,1,0,0,0,0,"Concluding a project is very satistifying seeing all the pieces fit together into a single cohesive manuscript. ",0,"While I love the research aspect of it, the corruption of the scientific publishing industry is frustrating and disgusting, while it is increasingly sad and stressful to see good researchers and projects go unfunded due to the intense competition and scarcity of research funds available.",Lab/online research,Assistant professor,Health sciences,Woman,36,Canada,
2026-01-29 18:07:33,2026-01-29 18:18:31,IP Address,100,657,True,2026-01-29 18:18:31,R_1g7khvcIykOzY9K,email,EN,Yes,Report writing,,,6,5,6,3,5,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,"I enjoy the work and I think it is an impactful project with a robust methodology. It is nice to see it get close to publication. ",2,"I enjoy the process of doing research but I find that the systems in place to support and reward research are sometimes frustrating. Luckily, in my current role, I have the autonomy to choose which research projects I engage in and when.",Lab/online research,Assistant professor,Health sciences,Woman,34,Canada,
2026-01-29 18:09:46,2026-01-29 18:19:14,IP Address,100,568,True,2026-01-29 18:19:15,R_8SUvuLU0APJ96hP,email,EN,Yes,Waiting for journal's response and revisions,,,6,1,7,4,2,2,0,0,2,0,1,1,1,0,1,1,0,0,0,0,Proud to have finalized a manuscript and submitted it.,0,It is hard and sometimes not worth it.,Lab/online research,Assistant professor,Health sciences,Man,36,Hungary,
2026-01-29 18:18:45,2026-01-29 18:22:03,IP Address,100,197,True,2026-01-29 18:22:03,R_88aR9r7PHESuwql,email,EN,Yes,Report writing,,,6,4,6,6,6,5,2,6,7,3,1,1,2,1,2,1,1,1,1,1,really interesting data,-2,"Stress, pressure, being asked to do too much",Lab/online research,Full professor,Life sciences,Woman,45,United Kingdom of Great Britain and Northern Ireland,
2026-01-29 18:30:37,2026-01-29 18:33:33,IP Address,100,176,True,2026-01-29 18:33:33,R_8Z8p9m6KJQcDDI5,email,EN,Yes,Data collection,,,4,4,4,4,4,4,4,4,4,4,5,3,3,0,2,2,0,2,0,1,,1,,Clinical research,Postdoc,Health sciences,Woman,34,Italy,
2026-01-29 18:30:38,2026-01-29 18:36:19,IP Address,100,341,True,2026-01-29 18:36:19,R_3EKp7VC9oHdopkB,email,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,"Actually, I was pretty calm in this process. Whereas, I was stressed out because it is never a single line to work as a researcher, I also need to deal with the review comments, the review work, the data analysis work.....So to be honest, the preparation part is the most enjoyable and calm work.",0,The acceptance of research brings me positive attitude but the tough process does exist.,Lab/online research,Postdoc,Health sciences,Woman,30,Canada,
2026-01-29 18:41:24,2026-01-29 18:47:05,IP Address,100,340,True,2026-01-29 18:47:05,R_4CH8LeNNKAL9CC6,email,EN,Yes,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",Rejected and being revised,,4,3,6,4,2,3,3,3,3,2,1,1,1,0,0,0,0,2,0,0,Relief,1,"Appreciation ",Clinical research,Full professor,Health sciences,Woman,44,India,
2026-01-29 18:47:38,2026-01-29 18:52:32,IP Address,100,294,True,2026-01-29 18:52:33,R_8YfbSQ8p0IfVHhg,email,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,1,1,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,2,4,2,Disappointed and angry at the documentation filling process and back and forth process for collection of signatures and etc,1,It is wonderful and exiting to find something new what could be helpful in the guture,Clinical research,Research assistant,Health sciences,Woman,30,Lithuania,
2026-01-29 18:50:12,2026-01-29 18:54:43,IP Address,100,271,True,2026-01-29 18:54:44,R_5cqJrxonplQa8A9,email,EN,Yes,Data analysis,,,6,6,6,4,3,6,3,6,6,3,1,1,1,1,1,5,4,6,1,1,"Transcendence ",1,"Transcendence ",Clinical research,Non-academic researcher,Health sciences,Man,36,Mexico,
2026-01-29 18:50:53,2026-01-29 18:55:37,IP Address,100,284,True,2026-01-29 18:55:38,R_8bExmZPoWRqp92V,email,EN,Yes,Waiting for journal's response and revisions,,,5,3,3,2,3,3,2,1,2,1,4,2,3,1,5,1,1,1,1,1,need to know the answer,2,challenging work,Clinical research,Full professor,Health sciences,Man,43,Italy,
2026-01-29 18:31:26,2026-01-29 18:55:49,IP Address,100,1462,True,2026-01-29 18:55:49,R_2l46rGKkMNNU4hf,email,EN,Yes,Data collection,,,5,6,6,6,5,5,7,7,3,5,6,3,6,2,5,7,5,6,4,6,"I am passionate about my work, like to do the background search, start to new projects and learn new technichs solve a problem. But sometimes it is hard to keep up this enthusiasm, I fear that I do something wrong during the measurements, anger when they do not go well, hate the administration and the treadmill effect to apply write plan measure and do it again. And I feel guilt against my family, because I do not have enough time with them.",2,I like being a researcher. It teaches me critical thinking and being patience at the same time,Lab/online research,Postdoc,Life sciences,Woman,42,Hungary,
2026-01-29 18:54:03,2026-01-29 19:00:15,IP Address,100,371,True,2026-01-29 19:00:15,R_2cV2PdWUhDcrJDg,email,EN,Yes,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",Accepted and published,,7,6,,7,,6,,6,,6,,,5,,4,,5,,4,4,"Pleasure ",3,"Excellent ",Clinical research,Associate professor,Health sciences,Woman,51,Iraq,"India "
2026-01-29 18:57:18,2026-01-29 19:05:36,IP Address,100,498,True,2026-01-29 19:05:37,R_1xCBQQBEif3wABX,email,EN,Yes,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",Rejected and being revised,,7,1,2,1,1,1,1,1,1,3,6,1,1,3,7,1,2,1,1,2,I spent part of my summer vacation working on a grant re-submission and just learned that it did not score well at the NIH. I am extremely disappointed.,1,"I love being a scientist and performing scientific research. But, I am growing very weary from writing many grants that are not funded, which is affecting my passion for this career.",Lab/online research,Full professor,Health sciences,Man,64,United States of America,
2026-01-29 17:28:22,2026-01-29 19:15:55,IP Address,100,6453,True,2026-01-29 19:15:56,R_1BW378WmfwSyet6,email,EN,Yes,Waiting for journal's response and revisions,,,6,2,5,4,4,5,3,4,5,2,0,0,0,0,0,1,0,0,0,0,"Publishing is getting harder and the article publication charges (APC)is getting harder too. Of course the funding is still a challenge. ",2,"I should keep it positive. However, the payment is not comparable or competitive with other jobs in the market. Sometimes I feel the scientists are not appreciated enough. ",Clinical research,Associate professor,Health sciences,Man,39,Saudi Arabia,
2026-01-29 19:17:01,2026-01-29 19:21:09,IP Address,100,248,True,2026-01-29 19:21:09,R_3vjrIUqdWdXCYt3,email,EN,Yes,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",Accepted and published,,6,2,6,5,6,4,1,4,7,6,1,1,2,1,1,0,0,0,0,0,"Project was very successful with a very strong and supportive collaborative group. ",3,"I was fortunate to be very successful with projects that I and others consider to be important. ",Clinical research,Full professor,Health sciences,Man,70,United States of America,
2026-01-29 19:07:54,2026-01-29 19:23:42,IP Address,100,947,True,2026-01-29 19:23:42,R_6la6aGZ2j02HhAd,email,EN,Yes,Data collection,,,7,0,0,3,5,3,0,0,0,0,0,5,2,2,7,1,0,0,0,7,"I am very interested in generating data for this project, as it consists of a set of new techniques in our lab that I am optimizing. I am experiencing high intensity disappointment because the optimization of experimental conditions is complex and taking more time than anticipated. I am experiencing high intensity anger because my collaborators are not being clear about their goals and expectations regarding this project, and keep changing the experimental conditions, which in turn is causing me to take much longer than anticipated to optimize the experimental conditions. My collaborators are also not providing feedback when specifically asked by me and then I get blamed when the experiments are not optimized to their satisfaction.",0,"Life as a researcher can be demoralizing. You work very hard sometimes and experiments still fail or you do not get expected results. However, when things do work and you make and exciting discovery, the feelings of accomplishment and pride offset the demoralization. So I rate it as neutral.",Lab/online research,Postdoc,Life sciences,Woman,44,Canada,
2026-01-29 19:25:11,2026-01-29 19:28:57,IP Address,100,225,True,2026-01-29 19:28:57,R_3szuusM4zqdnEln,email,EN,Yes,Data analysis,,,6,2,4,2,2,3,1,3,5,2,3,3,3,1,4,2,1,1,1,1,relief we are done,3,accomplishments and accolades,Clinical research,Full professor,Health sciences,Man,70,United States of America,
2026-01-29 19:18:27,2026-01-29 19:30:28,IP Address,100,721,True,2026-01-29 19:30:29,R_2Dcgd1JYO1FfzX6,email,EN,Yes,Data collection,,,7,7,4,4,3,2,7,7,2,7,5,6,6,4,7,7,4,5,3,7,"Interest.. of my family and work area
Amusement.. I like to amuse myself self after hard work in research 
Love my family 
Admiration of my kids and wife
Disappointed by the work bad environment 
Fear of tomorrow
Anger because of Bureaucracy",-3,"Hard work without good salary or even appreciation ",Field research,Associate professor,Physical sciences,Man,42,Egypt,
2026-01-29 19:33:49,2026-01-29 19:40:59,IP Address,100,430,True,2026-01-29 19:40:59,R_7JJzFpaNSOxCBf3,email,EN,Yes,Report writing,,,4,3,5,3,3,4,0,0,5,0,0,4,0,0,0,3,0,0,0,5,Relief that it was almost finished. Anger at issues that make it take longer than it should. Proud to be almost done,1,"Enjoy the work, disappointed at the relatively low value placed on the process (all value is only assigned to results regardless of the difficulty of the methodology)",Clinical research,Associate professor,Health sciences,Man,46,United States of America,
2026-01-29 19:47:21,2026-01-29 19:58:19,IP Address,100,658,True,2026-01-29 19:58:20,R_2ON04zNkO40W2dE,email,EN,Yes,Project genesis/ first thoughts/ idea creation,,,7,,,,,,,,,,,,,,,6,6,,,,Afraid of not getting the project,2,I enjoy doing it,Lab/online research,Full professor,Life sciences,Woman,63,Spain,
2026-01-29 19:57:13,2026-01-29 20:01:07,IP Address,100,234,True,2026-01-29 20:01:07,R_5bVjffR3s0YiSxb,email,EN,Yes,"Reality check (e.g., literature search, consultation with colleagues)",,,6,5,4,5,6,4,1,4,1,1,1,3,1,1,3,2,1,1,1,1,"I get very excited and interested in new research, but have a harder time getting excited about ideas that I have already explored more. ",-1,"I don't feel like I have time to dedicate to good research, but I also work at a primarily teaching institution, so research is valued, but not necessarily well-supported",Field research,Associate professor,Health sciences,Woman,39,United States of America,
2026-01-29 20:04:35,2026-01-29 20:07:28,IP Address,100,173,True,2026-01-29 20:07:29,R_2roF0P5cOJnG0Uv,email,EN,Yes,Report writing,,,5,2,4,4,5,4,2,2,3,2,2,6,4,3,2,1,0,0,0,0,"Report was overdue, hence guilt.",3,I love my research but feel hampered and depressed by my institutional context.,Lab/online research,Full professor,Social sciences,Man,67,United Kingdom of Great Britain and Northern Ireland,
2026-01-29 19:59:46,2026-01-29 20:07:59,IP Address,100,493,True,2026-01-29 20:08:00,R_8r1Xme7v3qyml1N,email,EN,Yes,Waiting for journal's response and revisions,,,6,5,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joy,2,"I can do what I love, and I have the opportunity for self-development",Lab/online research,Associate professor,Health sciences,Man,29,Hungary,
2026-01-29 17:28:38,2026-01-29 20:13:26,IP Address,100,9888,True,2026-01-29 20:13:27,R_1MWUg53oSIpWlqN,email,EN,Yes,Project genesis/ first thoughts/ idea creation,,,7,6,7,7,7,7,7,7,7,7,1,0,0,0,0,0,0,0,0,0,I feel an inner excitement because I am working on a new topic that could be effective for psychological interventions.,3," I love research. Because my work contributes to meaningful psychological interventions and helps populations affected by trauma, I feel a strong sense of purpose and internal motivation.",Clinical research,Associate professor,Health sciences,Man,49,United States of America,
2026-01-29 20:13:47,2026-01-29 20:17:38,IP Address,100,231,True,2026-01-29 20:17:39,R_7TTqndlHCrekPne,email,EN,Yes,Report writing,,,6,4,5,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,Used to be much higher - university appetite for funding is greater than ever even though it is clear that funding opportunities are declining.,Lab/online research,Associate professor,Life sciences,Man,53,United States of America,
2026-01-29 20:14:08,2026-01-29 20:21:28,IP Address,100,440,True,2026-01-29 20:21:28,R_224a0hpuorfDcgC,email,EN,Yes,"Reality check (e.g., literature search, consultation with colleagues)",,,6,2,5,2,2,4,1,0,7,4,5,0,4,0,5,3,0,0,3,3,Relief,-2,Pressure. Publication and grant race,Lab/online research,Full professor,Health sciences,Man,49,France,
2026-01-29 20:30:55,2026-01-29 20:36:24,IP Address,100,328,True,2026-01-29 20:36:24,R_38FzHonu0CDY4rZ,email,EN,Yes,Project genesis/ first thoughts/ idea creation,,,3,,3,,,1,7,7,,4,1,,,2,,,,1,,2,,0,-,Field research,PhD student,Health sciences,Prefer not to say,26,Afghanistan,
2026-01-29 20:25:06,2026-01-29 20:36:25,IP Address,100,679,True,2026-01-29 20:36:25,R_7hSALSTXNT6PeGv,email,EN,Yes,Report writing,,,7,0,6,6,6,5,0,0,0,0,2,1,1,1,1,1,1,1,1,1,The research results are supportive for our initial hypothesis.,3,"I enjoy doing research in academia. I am excited every morning to think about ongoing research, plan next experiments, and how to resolve problems that I am facing during the course of research.",Lab/online research,Full professor,Life sciences,Man,70,United States of America,
2026-01-29 20:36:15,2026-01-29 20:40:28,IP Address,100,253,True,2026-01-29 20:40:29,R_8MWYdAmVe9z8T7w,email,EN,Yes,Data analysis,,,4,0,4,0,5,3,1,0,3,0,1,0,0,0,0,0,0,0,0,0,Mainly frustration but that's because I work full-time and it's hard to find time to work on my PhD research.,1,I enjoy thinking about and developing ideas and collaborating with others in the process.,Lab/online research,Other,Health sciences,Prefer not to say,41,United Kingdom of Great Britain and Northern Ireland,
2026-01-29 20:36:18,2026-01-29 20:51:25,IP Address,100,907,True,2026-01-29 20:51:25,R_89nIXHbBQZezC5r,email,EN,Yes,Project genesis/ first thoughts/ idea creation,,,7,6,6,5,6,5,5,7,5,2,1,1,1,2,2,4,1,3,1,1,"The satisfaction of getting new results for the very first time. ",1,"There is no a big support for research and development in my country. ",Lab/online research,Postdoc,Health sciences,Man,39,Spain,
2026-01-29 20:44:09,2026-01-29 20:51:43,IP Address,100,454,True,2026-01-29 20:51:44,R_4CU492Qkts6G1Jv,email,EN,Yes,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",Accepted and published,,6,0,7,4,3,5,0,5,7,1,1,1,1,0,0,3,0,0,0,0,Pride was my highest score - I was 1st author on the paper and it took a lot of time to conduct and write the paper.,-1,I do not have enough time in my role for research.,Field research,PhD student,Health sciences,Woman,50,Australia,
2026-01-29 20:43:37,2026-01-29 20:56:09,IP Address,100,751,True,2026-01-29 20:56:09,R_2IpdRvZjBcOoOUX,email,EN,Yes,Data analysis,,,7,1,1,1,1,2,1,1,2,1,5,2,6,7,7,7,1,5,1,6,"I am very disappointed, firstly in myself: compared to other researchers, I don't seem to have sparked enough interest among the participants in my research. The response rates to our questionnaire are very low. In relation to another research project (both equally important in my work), I am disappointed in my colleagues because I am not receiving the support they promised me. This makes me feel very left alone.",1,"I previously worked as a nurse and find my current job less rewarding and satisfying. Nevertheless, I earn good money (albeit relatively little in relation to my long training and study period) and I can go home at the end of the day with less stress. Unfortunately, my working hours are relatively unlimited; I hope that this will improve after I obtain my PhD.",Field research,PhD student,Health sciences,Woman,38,Germany,
2026-01-29 21:10:01,2026-01-29 21:12:56,IP Address,100,174,True,2026-01-29 21:12:57,R_6oy3RGFOuZIoY7f,email,EN,Yes,Project genesis/ first thoughts/ idea creation,,,5,5,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,N/A,-1,No adequaate support - lack of funding,Clinical research,Assistant professor,Health sciences,Man,35,United States of America,
2026-01-29 20:50:21,2026-01-29 21:14:10,IP Address,100,1428,True,2026-01-29 21:14:10,R_2hBch9z8Au3sJgo,email,EN,Yes,"Reality check (e.g., literature search, consultation with colleagues)",,,7,6,0,6,5,0,0,3,0,0,0,6,2,0,3,3,0,0,0,1,"Checking the literature and sharing with colleagues is always very enriching and energizing for me. I get to polish my idea and also some other ideas for the future, so I have felt an increasing level of interest since I started that phase.",1,"It is great to do what you are passionate about, but there are lot of teaching (which is not bad) and bureacratic workloads that are quite annoying. Also there is a huge competition among colleagues and lots of job insecurity and future uncertainty that are not easy to manage. Also, at least in my region, there are not so many places where you can do research, so it complicate the life-work balance, especially if you have a partner outside academia or children",Lab/online research,Assistant professor,Social sciences,Man,42,Portugal,
